pmid,title,abstract,pub_year,journal,toxicant,organs,health_effects,products,ingredients,inference,relevant,relevance_reason
40296512,"Efficacy and Safety of Generic Fluocinolone Acetonide, Hydroquinone, and Tretinoin Cream Compared With TRI-LUMA for the Treatment of Moderate-To-Severe Melasma in Chinese Patients: A Randomized, Single-Center, Placebo-Controlled Trial.","Treatment with fluocinolone acetonide, hydroquinone, and tretinoin cream is the gold standard for melasma; however, the effects of this treatment in the Chinese population remain unclear. Due to the differences between Chinese and Caucasian subjects, further clinical trials in Chinese patients with melasma are needed. To evaluate the efficacy and safety of fluocinolone acetonide, hydroquinone, and tretinoin creams in Chinese patients with moderate-to-severe melasma. We recruited 53 patients who received a generic formulation (triple combination cream, TCC), brand formulation (TRI-LUMA), or placebo once daily for 8 weeks. In weeks 4 and 8, efficacy was evaluated based on the Melasma Severity Scale and Melasma Area and Severity Index. In addition, safety was assessed based on the incidence and severity of treatment-emergent adverse events. The generic TCC group achieved 52.2% efficacy compared to 57.1% in the TRI-LUMA group. There was no significant difference in the incidence of adverse effects between the TCC and TRI-LUMA groups (69.6% and 90.5%, respectively; p > 0.05). The incidence of adverse events in the placebo group was 0%. Generic TCC was as effective as TRI-LUMA and had a similar safety profile in this study of Chinese subjects with moderate-to-severe melasma.",2025,Journal of cosmetic dermatology,hydroquinone,unspecified,unspecified,unspecified,retinol,skin/topical study | clinical/hospital study | epidemiological study,,
40265941,Onset of vitiligo following contact dermatitis from eyeliner application in a 20-year-old female.,"Vitiligo is an autoimmune condition characterized by the destruction of melanocytes, leading to depigmented skin patches. Allergic contact dermatitis, triggered by allergens in cosmetics, can initiate localized immune responses that may progress to systemic immune dysregulation in genetically predisposed individuals. This case explores the potential role of allergic contact dermatitis in triggering vitiligo and proposes mechanisms underlying this association.",2025,Dermatology reports,hydroquinone,skin | eye | immune system,skin sensitization | immune disruption,eye product,unspecified,cosmetics product study,,
40255950,Evaluating the efficacy of <i>Terminalia chebula</i> Retz. 5% cream compared to hydroquinone 2% cream in the treatment of melasma.,"Melasma is a multifactorial, chronic, acquired skin disorder of hyperpigmentation. <i>Terminalia chebula</i> Retz. <i>(T. chebula)</i> has shown antioxidant, anti-inflammatory and tyrosinase enzyme inhibitory activities. So, the present study was designed to evaluate the efficacy of <i>T. chebula</i> 5% cream compared to hydroquinone 2% cream in treating patients with melasma. The formulation of <i>T. chebula</i> 5% cream was prepared. The stability and release study of the cream were performed. In this randomized, controlled, triple-blind clinical trial, participants with facial melasma were randomly assigned to receive <i>T. chebula</i> 5% cream or hydroquinone 2% cream at bedtime for 12 weeks. Modified Melasma Area and Severity Index (mMASI) scores were recorded for all the participants at the baseline and 4, 8, and 12 weeks after initiating the study. No statistically significant differences regarding mMASI scores were detected between <i>T. chebula</i> and hydroquinone groups at each time point. The reduction in mMASI scores was statistically significant (p<0.05) in <i>T. chebula</i> group 4, 8, and 12 weeks after initiating the study. However, it reached statistical significance (p<0.05) in hydroquinone group 8, and 12 weeks after the study initiation. The frequencies of side effects especially skin irritation were significantly (p<0.05) lower in <i>T. chebula</i> group. <i>T. chebula</i> 5% cream could be as effective as hydroquinone 2% cream in treating melasma with fewer side effects.",2024,Avicenna journal of phytomedicine,hydroquinone,skin,oxidative stress,unspecified,unspecified,skin/topical study | clinical/hospital study,,
40253664,Canadian Consensus Guidelines for the Management of Vitiligo.,"Vitiligo remains a highly burdensome disease associated with significant autoimmune and psychosocial comorbidities. Although the therapeutic landscape has long been dominated by off-label therapy, new treatments are emerging. Limited guidance on how to safely and effectively utilize available therapies poses challenges for healthcare providers. Herein, we provide generally accepted principles, consensus recommendations, and a treatment algorithm for the management of vitiligo, as developed by a panel of ten Canadian dermatologists with expertise in managing vitiligo. The three-phase process consisted of identifying themes and research questions; conducting a systematic literature review; and discussing/voting on generally accepted principles, consensus statements, and a treatment algorithm using an iterative consensus process. Experts agreed to 27 generally accepted principles, ten consensus statements, and a treatment algorithm. Education about vitiligo pathogenesis and repigmentation biology can help patients, caregivers, and healthcare providers set realistic expectations for treatment. Treatment should focus on repigmentation or stabilizing progression, rather than on depigmentation. Topical therapies include topical corticosteroids, topical calcineurin inhibitors, and the topical Janus kinase inhibitor ruxolitinib cream. Phototherapy, such as narrow-band ultraviolet B and excimer laser/lamp, can be used as monotherapy or in combination with other treatments. Off-label systemic therapies may be appropriate for patients with unstable or rapidly progressing disease. Surgical therapy may be suitable for patients with localized or stable recalcitrant disease. Maintenance therapy may help mitigate the risk of disease relapse. Improved clarity around the benefits, risks, and limitations of available therapies has supported the development of robust guidelines and a treatment algorithm for vitiligo. Disease stabilization and repigmentation are goals that can largely be achieved, particularly when patients share a mutual understanding of vitiligo and its treatment options. A Graphical Abstract is available for this article.",2025,Dermatology and therapy,hydroquinone,immune system,immune disruption,unspecified,unspecified,skin/topical study | clinical/hospital study,,
40232012,The Pomegranate Flower Water Extract Negatively Regulates Melanogenesis by Suppressing MITF Expression and Its Target Enzymes.,"The aesthetic issues caused by pigmentation are increasing people's demand for skin whitening. Considering its long-term use, it is very important for searching safe and effective agents. Pomegranate flower, a kind of traditional Chinese medicine, has shown promising anti-inflammatory, antioxidant, and antidiabetic properties, but its potential skin-lightening effects have not been well explored. We investigated the effect of pomegranate flower water extract (PFE) on skin lightening and elucidated its underlying mechanisms. The radical scavenging capacity was measured by ABTS and DPPH assays, and the mechanism of lightening was detected by Western blot. PFE could obviously inhibit tyrosinase activity, which its inhibition IC<sub>50</sub> value was lower than the positive control, kojic acid. Meanwhile, the radical scavenging capacity was also better than vitamin C (VC). Then the synthesis ability of melanin was measured in B16F10 cells; we found that PFE, in its safe concentrations, could reduce the synthesis of melanin resulting from inhibiting TYR activities. The expression of the main melanogenesis enzymes TYR, TRP-1, and TRP-2 was sharply reduced. Interestingly, MITF, a transcription factor of TYR, was obviously decreased its expression when treated with PFE at 50, 100, and 150 μg/mL, which was even significantly lower than the downregulation by kojic acid. Pomegranate flower extract possessed a strong antimelanogenesis effect, which resulted from inhibiting the expression of MITF and its downstream target enzymes involved in melanin synthesis. These findings provide a strong scientific basis for the use of PFE as a safe and effective skin-lightening ingredient in the cosmetic industry.",2025,Journal of cosmetic dermatology,hydroquinone,skin,oxidative stress,unspecified,vitamin C | kojic acid,cosmetics product study,,
40220259,An Effective and Safe Laser Treatment Strategy of Fractional Carbon Dioxide Laser for Chinese Populations with Periorbital Wrinkles: A Randomized Split-Face Trial.,"Ablative carbon dioxide fractional laser (CO<sub>2</sub> AFL) can alleviate static wrinkles; however, its use in East Asian populations can predispose them to postinflammatory hyperpigmentation (PIH). We aimed to explore the optimum energy and coverage parameters of CO<sub>2</sub> AFL for treating static periorbital wrinkles in a Chinese population and to minimize PIH incidence. In total, 30 patients with static periorbital wrinkles were recruited. The PIH intervention side (1% hydroquinone cream every night on one periorbital area for each patient 1 month before and from the 8th day to 1 month after each treatment) and group (group A: 15‒20 mJ, 5%; group B: 10‒12.5 mJ, 15%; and group C: 12.5‒15 mJ, 10%) were determined randomly. The patients underwent two sessions of CO<sub>2</sub> AFL at 3-month intervals. Follow-ups were conducted until 6 months after the last treatment. Overall, 20 participants (48.1 ± 13.1 years) completed all follow-ups without any serious complications. The application of hydroquinone significantly reduced PIH (p = 0.02). Both the investigators' and patients' visual evaluations demonstrated a consistent efficacy rate of 68.2% without differences between groups. The Fitzpatrick wrinkle score significantly decreased compared with pre-treatment (p < 0.01); however, a significant reduction only in group B at 3 months (p = 0.016) and 6 months (p = 0.001) post-treatment was observed. Groups B and C demonstrated significant reductions in superficial and deep wrinkles and pigmentation (p < 0.01). CO<sub>2</sub> AFL effectively reduced static periorbital wrinkles in the Chinese population. Low energy combined with high-density coverage was the most efficacious. The application of hydroquinone significantly reduced PIH incidence. Chinese Clinical Trial Registration no. ChiCTR2400087320 (date of trial registration: 25 July 2024).",2025,Dermatology and therapy,hydroquinone,unspecified,unspecified,unspecified,unspecified,skin/topical study | clinical/hospital study | epidemiological study,,
40208486,Dark consequences of skin lightening creams.,,2025,Journal of nephrology,hydroquinone,skin,unspecified,unspecified,unspecified,skin/topical study,,
40198513,Analyzing Social Media Trends in Cosmeceuticals: Insights From Google Trends and TikTok Analytics.,"Social media usage has surged, particularly since the COVID-19 pandemic. Dermatology invokes intense interest on social media, and cosmeceuticals are among the most trending topics, offering a unique space for dermatologists to share their expertise. By using tools like Google Trends and TikTok viewership, we aim to capture cosmeceutical trends to guide dermatologists' educational efforts. A Google Trends search from January 2004 to December 2023 was performed on retinol, bakuchiol, salicylic acid, glycolic acid, azelaic acid, hydroquinone, niacinamide, vitamin C serum, and hyaluronic acid. Trend lines were created for each term, and yearly percent differences in relative search volume index (SVI) were calculated. Relative interest for each cosmeceutical was analyzed, comparing the average SVI and TikTok views. Google data shows sustained cosmeceutical search volume growth, with the largest increase from 2020 to 2021, coinciding with the COVID-19 pandemic. Cosmeceutical search volume corresponds with TikTok views. Both platforms demonstrate retinol as the most popular cosmeceutical, followed by hyaluronic acid, salicylic acid, glycolic acid, and vitamin C. Niacinamide has considerably more TikTok views compared to search interest. Bakuchiol was the least popular cosmeceutical. The results reveal growing curiosity in cosmeceuticals, with interest correlating with consumers' views on social media. Awareness of skincare trends and growth in cosmeceutical interest empower dermatologists to anticipate patient inquiries and develop targeted education on product efficacy, cost effectiveness, and potential adverse reactions. Social media platforms are a possible space for dermatologists to engage with their patients and ensure dissemination of accurate cosmeceutical information.",2025,Journal of cosmetic dermatology,hydroquinone,skin | blood,unspecified,unspecified,retinol | niacinamide | hyaluronic acid | vitamin C | salicylic acid | glycolic acid,clinical/hospital study,,
40164066,"Compatibility of Active Pharmaceutical Ingredients Combinations Compounded in Cleoderm™, a Cream Base for Personalized Dermatological Treatments.","The increasing prevalence of skin conditions like acne, rosacea, and hyperpigmentation highlights the need for personalized dermatological treatments, with compounded formulations providing tailored solutions by combining multiple active pharmaceutical ingredients (APIs). This study evaluates the compatibility and stability of various formulations compounded in Cleoderm™, a cream base designed for acne-prone, affected, or sensitive skin. The tested formulations included: adapalene 0.1% or 0.3% and benzoyl peroxide 1.0% or 5.0%; hydroquinone 4.0%, hydrocortisone 1.0%, and tretinoin 0.0125%; azelaic acid 15.0% or 20.0% and niacinamide 4.0%; niacinamide 4.0% and tretinoin 0.025%; and clindamycin hydrochloride 3.0%. Each formulation underwent high-performance liquid chromatography (HPLC) and microbiological assessments over a 180-day period to determine stability and beyond-use dates (BUDs). Both formulations containing adapalene and benzoyl peroxide demonstrated excellent stability, with an assigned BUD of 180 days. Formulations of azelaic acid combined with niacinamide and niacinamide with tretinoin also showed sustained stability with BUDs of 180 days. In contrast, the formulation containing hydroquinone, hydrocortisone, and tretinoin had a BUD of 14 days. Clindamycin hydrochloride displayed a similar pattern, with stability maintained for 14 days. Microbiological evaluations confirmed the antimicrobial efficacy of all formulations, meeting United States Pharmacopeia (USP) requirements for antimicrobial effectiveness throughout their respective BUDs. The findings underscore the importance of evaluating the stability and compatibility of compounded formulations to ensure their safety and efficacy. This study supports the use of Cleoderm™ as a versatile and reliable base for personalized dermatological treatments, providing evidence-based BUDs to guide clinical practice.",2025,International journal of pharmaceutical compounding,hydroquinone,skin,unspecified,unspecified,retinol | niacinamide | benzoyl peroxide,skin/topical study | epidemiological study | analytical/method study,,
40161425,Microneedling Technique With Topical Vitamin C for Gingival Depigmentation Enhancing Gingival Aesthetics: A Longitudinal Study.,"Introduction As the focus on dental aesthetics intensifies, contemporary cosmetic dentistry seeks to establish an equilibrium between teeth and gums. Gingival hyperpigmentation, resulting from excessive melanin accumulation, can impact individuals regardless of age or gender and frequently gives rise to aesthetic apprehensions. Microneedling combined with topical vitamin C is a promising new method for improving gum appearance, particularly for reducing gingival hyperpigmentation caused by excess melanin. Microneedling is less expensive, more versatile, and promotes faster healing than traditional procedures like lasers or surgery. Materials and methods A study with 10 participants at the Karnavati School of Dentistry demonstrated significant pigmentation reduction. A paste was made with powdered ascorbic acid and a liquid ampule solution and applied with a Derma Pen (Dr. Pen Ultima A1, C Cube Advanced Technologies, India), which is a rechargeable pen-like instrument with 24-36 adjustable needles (0.25 mm to 2 mm) and five-speed settings. The gadget enables multi-directional treatment, and its disposable needle tips assure clean use with several patients. Results A significant decrease in melanin pigmentation was observed across all age groups, but anatomical challenges, such as irregular gingival contours, hampered results in some cases. Conclusion Microneedling is a safe and effective option for improving gingival aesthetics. As the technique evolves, it has the potential for broader applications.",2025,Cureus,hydroquinone,unspecified,unspecified,unspecified,vitamin C,cosmetics product study | skin/topical study | clinical/hospital study,,
40158597,Development and efficacy of arbutin-loaded agarose hydrogel for antioxidant and depigmentation applications.,"Skin whitening and depigmentation are key strategies in skincare, representing a major global market. However, prolonged use of high concentrations of chemicals in skincare products can lead to skin disorders and premature aging. Biopolymer-based hydrogels offer a promising alternative by enabling sustained transdermal delivery of bioactive molecules while minimizing adverse effects. This study aimed to develop a novel bioactive hydrogel using thermosensitive, low-temperature-melting agarose (AGE) and the non-toxic tyrosinase inhibitor arbutin (ABN). Fourier transform infrared spectroscopy (FTIR) analysis confirmed the successful incorporation of ABN into the AGE hydrogel, while X-ray diffraction (XRD) analysis revealed the formation of new amorphous peaks, indicating composite hydrogel formation. Field emission scanning electron microscope (FE-SEM) imaging showed that freeze-dried AGE-ABN exhibited a smaller, more longitudinal porous structure compared to AGE alone. ABN release was dependent on its initial concentration, with higher release rates correlating with increased antioxidant activity. The 10-minute extract of freeze-dried AGE-ABN (0.1 %) hydrogel demonstrated DPPH (39.16 ± 0.72 %), FRAP (78.37 ± 2.24 %), and ABTS (92.40 ± 0.02 %) radical scavenging activities. Additionally, AGE-ABN (0.1 %) exhibited significant tyrosinase inhibition (27.90 ± 0.02 %), highlighting its potential for depigmentation. Importantly, the hydrogel promoted a human keratinocyte (HaCaT) cell growth without inducing cytotoxicity.",2025,International journal of biological macromolecules,hydroquinone,skin | liver,oxidative stress,unspecified,arbutin,skin/topical study,,
40149091,Phenolic Compounds from <i>Pyrus communis</i> Residues: Mechanisms of Antibacterial Action and Therapeutic Applications.,"The food industry produces substantial amounts of fruit byproducts, which are often discarded despite their high content of bioactive compounds with potential therapeutic applications. <i>Pyrus communis</i> (pear) residues, which are particularly rich in phenolic compounds, represent a valuable yet underutilized resource. These byproducts have demonstrated significant antioxidant and antibacterial properties, suggesting their potential for medical and pharmaceutical applications. This review aims to provide a comprehensive analysis of the phenolic profile of <i>P. communis</i> byproducts, emphasizing their antioxidant and antibacterial mechanisms and their prospective use in combating oxidative stress and antibacterial resistance. A comprehensive review of the key phenolic compounds from <i>P. communis</i> residues was conducted using ScienceDirect and Google Scholar databases (from 2014 to 2024). Studies assessing antioxidant and antibacterial activities were reviewed, with a focus on their mechanisms of action against Gram-positive and Gram-negative bacterial pathogens. A minimum of 14 distinct phenolic compounds were identified among <i>P. communis</i> residues. However, chlorogenic acid and catechin were identified as the primary contributors to the antioxidant activity of <i>P. communis</i> residues. Hydroquinone and chlorogenic acid exhibited strong antibacterial effects through membrane disruption, enzyme inhibition, and metabolic interference. Despite this potential, hydroquinone's cytotoxicity and regulatory concerns limit its direct pharmaceutical application. While <i>P. communis</i> phenolics show promise as natural antibacterial agents, future research should address bioavailability, extraction standardization, and safe formulation strategies. Investigating their synergy with conventional antibiotics and improving stability for cosmetic applications are key steps toward their practical use. In vivo and clinical studies are crucial to validating their therapeutic potential and ensuring regulatory approval.",2025,"Antibiotics (Basel, Switzerland)",hydroquinone,unspecified,oxidative stress,unspecified,unspecified,cosmetics product study | clinical/hospital study | food/dietary exposure,,
40145230,"Perceptions and Management of Pregnancy-Related Skin Changes: A Cross-Sectional Study on Knowledge, Practices, and Use of Skincare Product.","Hormonal, metabolic, and immunologic factors may cause several skin changes during pregnancy. Therefore, it is important for pregnant women to be aware of these expected changes in their skin appearance in order to prevent unwanted effects and to choose the appropriate preventive or treatment measures via trustable sources of information. This study would highlight the most common normal and abnormal physiological skin changes mothers usually complain about before or after pregnancy. The most commonly used skin care products, their sources of knowledge, information, perception, and experiences on these problems and products were also considered. In addition, patient satisfaction levels and their sources and types of knowledge were also investigated. Across sectional survey was distributed among women who met the inclusion criteria and were citizens in the Hashimate Kingdom of Jordan. This survey was composed of a number of questions used for investigating participant's socio-demographic characteristics, during and post-pregnancy characteristics and medications used, comparison of skin related complains reported by these women, in addition to their use of skin care products. Women's knowledge, perception, and experience regarding their use of skin care products were also included. Of the 337 participants in this study, 6.5% and 6.8% of women were using thyroid medications and antihypertensive agents. An increase of around 3% in pregnancy-related skin changes, such as hyperpigmentation, hair loss, cellulite, and wrinkles, was predominant among women. Despite the prevalence of hyperpigmentation, only 4% and 17% of women used depigmentation and sunblock products. Moreover, women declare that their information about the use of skin care products was mainly via social media or self-experience. A low rate of consultation with dermatologists and the reliance on self-diagnosis or non-professional advice were shown. This study suggests a lack of awareness about effective preventive measures for skin-related disorders commonly occurring during pregnancy, potentially exacerbated by reliance on unverified sources of information, such as social media. Therefore, incorporating education about skin changes into routine prenatal care could empower women to make informed decisions and reduce the stigma associated with these changes.",2025,Journal of cosmetic dermatology,hydroquinone,skin | thyroid,unspecified,sunscreen,unspecified,sunscreen/UV filter study | clinical/hospital study | epidemiological study,,
40143215,Evaluation of the Anti-Aging Properties of Ethanolic Extracts from Selected Plant Species and Propolis by Enzyme Inhibition Assays and 2D/3D Cell Culture Methods.,"<b>Background</b>: Skin aging is a complex biological process affected by internal and external factors that disrupt the skin structure, especially in sun-exposed areas. Elastin and collagen in the dermis layer, responsible for the skin's resistance and elasticity, have been the main subject of research. Since tyrosinase (TYR) is an enzyme found in different organisms and plays an essential role in melanogenesis, inhibitors of this enzyme have been the target mechanism for skin-bleaching product research. <b>Methods</b>: We selected the plant species <i>Cotinus coggygria</i> Scop., <i>Garcinia mangostana</i> L., <i>Pistacia vera</i> L., <i>Vitis vinifera</i> L., and propolis, which exhibited activity against a minimum of three target enzymes-elastase, collagenase, and TYR-in our previous screening study to find the suitable raw material for a cosmetic product. In the current research, the extracts from these samples were tested through a cell-free enzyme assay using validated elastase, collagenase, and TYR inhibition kits. We also performed the safety and efficacy tests of the selected extracts with 2D/3D cell culture methods. <b>Results</b>: Our data revealed the propolis extract among the tested ones displayed remarkable anti-inflammatory activity in the 2D (NF-κB induction: 10.81%) and 3D assays. <i>Cotinus coggygria</i> leaf and <i>Garcinia mangostana</i> shell extracts exhibited anti-inflammatory activity in the 2D luciferase reporter assay via TNFα addition. <i>C. coggygria</i> leaf, <i>V. vinifera</i> (grape) seed, and propolis extracts were selected for testing in 3D cell culture methods based on the 2D cytotoxicity results with cell viability values of 54.75%, 93.19%, and 98.64% at 34.25 µg/mL, respectively. The general phytochemical profiles of these three extracts were examined in terms of 53 phenolic compounds with LC-MS/MS, revealing that quinic acid, epicatechin, and acacetin were the dominant phenolics among the tested ones. <b>Conclusions</b>: It is the first study conducted to evaluate the use of the extracts indicated above in cosmetics by employing procedures involving 3D cell culture.",2025,"Pharmaceuticals (Basel, Switzerland)",hydroquinone,skin,unspecified,unspecified,collagen,cosmetics product study | analytical/method study,,
40127492,Efficacy of overnight leave-on sandwich therapy with 5% cysteamine and ectoine cream compared to hydroquinone 4% cream for treatment of melasma: a double-blind randomized controlled trial.,"Melasma is a common hypermelanosis presenting as dark patches on sun-exposed skin. Its treatment remains challenging due to slow response, especially in chronic cases. This study compares the efficacy of 5% cysteamine with ectoine cream versus 4% hydroquinone with ectoine cream in treating melasma. A double-blind randomized controlled trial was conducted from January to March 2024 across three centers in Indonesia: Dr. Moewardi Hospital (Surakarta), Gatot Soebroto Army Hospital (Jakarta), and Dr. Saiful Anwar Hospital (Malang). Participants were randomly assigned to Group A (5% cysteamine + ectoine) or Group B (4% hydroquinone + ectoine). Efficacy was evaluated using the modified Melasma Area and Severity Index (mMASI) and the JANUS-I skin analyzer. Quality of life was assessed using Melasma Quality of Life Scale (MELASQoL) and Dermatology Life Quality Index (DLQI) questionnaires. Both groups demonstrated reduced mMASI and JANUS-I scores, with slightly greater improvement in Group A, although the difference was not statistically significant (p > 0.05). Quality of living also improved in both groups, with no significant difference between them (p > 0.05). Both treatment regimens effectively improved melasma pigmentation and QoL. Either 5% cysteamine with ectoine or 4% hydroquinone with ectoine can be considered viable treatment options for melasma.",2025,"Acta dermatovenerologica Alpina, Pannonica, et Adriatica",hydroquinone,skin,unspecified,unspecified,unspecified,skin/topical study | clinical/hospital study,,
40071590,Potassium 4-Methoxysalicylate (4MSK) Exerts a Skin Lightening Effect by Acting on Melanocytes and Keratinocytes.,"Hyperpigmentation is a common acquired disorder that can be a cosmetic concern for many individuals. To reduce and prevent hyperpigmentation, numerous skin lightening agents have been developed. Potassium 4-methoxysalicylate (4MSK) is a skin lightening agent that was approved as an active skin lightening ingredient of quasi-drugs by the Ministry of Health, Labour and Welfare of Japan in 2003. For over 20 years, 4MSK has been widely used in quasi-drug and cosmetic products. However, the mechanism of action and efficacy of 4MSK on skin pigmentation and skin lightness have not been publicly reported. This study aimed to assess the mechanism of action and the efficacy of 4MSK on facial pigmentation. The mechanism of action of 4MSK on epidermal cells was investigated using human melanocytes, human keratinocytes, and human 3D epidermal equivalents. The efficacy of 4MSK on facial pigmentation was evaluated by a human clinical study, which is a double-blind, split-face, placebo-controlled, paired-design study. 4MSK significantly suppressed melanin content in cultured human melanocytes and a 3D epidermal equivalent. It also promoted gene expression of differentiation markers of human keratinocytes. In the clinical study, a 4MSK formulation significantly increased skin lightness values in both pigmented and non-pigmented areas of cheek skin. In addition, it reduced the desquamation area ratio of the cheek. 4MSK reduces skin pigmentation and contributes to brighter skin by acting on both melanocytes and keratinocytes.",2025,Journal of cosmetic dermatology,hydroquinone,skin,unspecified,unspecified,unspecified,cosmetics product study | clinical/hospital study,,
40062688,"Evaluation of the Efficacy of a Serum Containing Niacinamide, Tranexamic Acid, Vitamin C, and Hydroxy Acid Compared to 4% Hydroquinone in the Management of Melasma.","Melasma is a common skin condition that remains challenging to treat. Hydroquinone at 4% (HQ4%) is a frequently prescribed depigmenting compound that has been associated with potential side effects. This study assessed the benefit in melasma of an anti-hyperpigmentation serum (Serum B3 containing 5% niacinamide, 1% tranexamic acid, 0.2% of a stabilized form of vitamin C, and different hydroxy acids) compared to HQ4%. In a single-site, investigator-blind, randomized study, 60 females aged between 20 and 50 years with facial melasma received Serum B3 for 5 months (Group 1) or HQ4% for 3 months followed by Serum B3 for an additional2 months (Group 2). Endpoints were Melasma Area and Severity Index (MASI), modified MASI (mMASI), Investigational Global Assessment, erythema, clinical cutaneous parameters, and safety. Subjects assessed quality of life (QoL) and cosmetic acceptability. Confocal reflecting microscopy was performed. A significant (p < 0.001) reduction in pigmentation was seen in both groups after 3 months. A higher erythema score was noted in Group 2. Hydration and skin barrier function performed better in Group 1. QoL significantly (p < 0.001) improved in both groups after 84 days. Serum B3 was tolerated better than HQ, and subjects appreciated Serum B3. Melanin density reduction was similar for both groups after 3 and 5 months. Serum B3 used for 5 months and HQ4% applied for 3 months, followed by a 2-month use of Serum B3, had a similar efficacy profile, with Serum B3 having a better local tolerance and patient acceptability.",2025,Journal of cosmetic dermatology,hydroquinone,skin | blood,unspecified,unspecified,niacinamide | vitamin C,cosmetics product study | clinical/hospital study,,
40018467,Liquid Nitrogen as a Novel Treatment for Gingival Depigmentation: A Case Report.,"Gingiva is an important part of a smile, and it is considered the most frequently pigmented tissue in the oral cavity. Although gingival pigmentation is physiologic in most cases, it is one of the common causes of esthetic concerns in patients with gummy smiles. Hence, the demand for cosmetic therapy of gingival melanin pigmentation has become common. Numerous procedures have been suggested to treat this problem, such as gingivectomy, free gingival grafts, cryosurgery, electrosurgery, laser therapy, etc. Here we report a case of gingival hyperpigmentation using liquid nitrogen cryosurgery. The six-month follow-up examination confirmed effective depigmentation with no complications. This simple technique proves to be an excellent choice for managing gingival pigmentation, offering both pleasing cosmetic results and high patient satisfaction.",2025,Cureus,hydroquinone,unspecified,unspecified,unspecified,unspecified,cosmetics product study | clinical/hospital study,,
40005324,Exploring Anti-Aging Effects of Topical Treatments for Actinic Keratosis.,"<i>Background and Objectives</i>: Actinic keratosis (AK) is a precancerous cutaneous lesion driven by chronic ultraviolet (UV) exposure, often coexisting with features of photoaging, such as wrinkles and pigmentary irregularities. Recent evidence suggests that treatments for AK may also counteract photoaging through shared molecular pathways, including oxidative stress and inflammation. This narrative review explores the dual benefits of AK therapies, highlighting their potential anti-aging and skin-lightening effects, and implications for improving skin appearance alongside lesion clearance. <i>Materials and Methods</i>: The literature was analyzed to assess the efficacy, mechanisms, and cosmetic outcomes of commonly used AK treatments, including topical agents (5-fluorouracil (5-FU), imiquimod, diclofenac, and tirbanibulin), and photodynamic therapy (PDT). Studies highlighting their effects on photoaged skin, collagen remodeling, pigmentation, and patient satisfaction were reviewed. <i>Results</i>: PDT emerged as the most validated treatment, demonstrating improved collagen synthesis, skin texture, and pigmentation. 5-FU showed remodeling of the dermal matrix and increased procollagen levels, but local skin reactions represent a major limitation. Imiquimod enhanced dermal fibroplasia and reduced solar elastosis, while diclofenac provided mild photodamage improvements with minimal adverse effects. Tirbanibulin showed promising aesthetic outcomes, including skin lightening and a reduction in mottled pigmentation, with favorable tolerability. <i>Conclusions</i>: AK therapies offer a dual-purpose strategy, addressing both precancerous lesions and cosmetic concerns associated with photoaging. While PDT remains the gold standard, emerging agents like tirbanibulin ointment exhibit substantial potential. Future research should focus on optimizing treatment protocols and evaluating long-term cosmetic outcomes to enhance patient satisfaction and compliance.",2025,"Medicina (Kaunas, Lithuania)",hydroquinone,skin,carcinogenicity | skin sensitization | oxidative stress,unspecified,collagen,cosmetics product study | skin/topical study | clinical/hospital study,,
39918262,Effectiveness and Safety of Combined Use of Home-Based Radiofrequency Device and Arbutin Cream in Melasma and Facial Rejuvenation.,"Melasma and facial aging are prevalent dermatological concerns. The combined use of a home-based radiofrequency (RF) device and a topical depigmentation agent, such as an arbutin-based cream, has shown potential in addressing both conditions. This study evaluated the effectiveness and safety of combining a home-based RF device with arbutin cream to treat melasma and facial aging. This single-center, open-label study included 38 participants. The treatment involved using a home-based RF device alongside an arbutin cream three times a week for 4 weeks, followed by a 4-week rest period. Key outcomes included changes in modified Melasma Area and Severity Index (mMASI) scores, melanin index (MI), erythema index (EI), facial wrinkles, skin texture, and periorbital dermal thickness. The participants also provided a self-assessment of the treatment efficacy. After 4 and 8 weeks of treatment, compared with baseline, the mMASI scores decreased by 20.8% and 25.6%, whereas the MI decreased by 22.0% and 22.8%, respectively. The EI decreased by 5.94% and 6.86%, facial wrinkles decreased by 30.9% and 35.9%, and skin texture scores decreased by 19.7% and 21.4% at 4 and 8 weeks posttreatment, respectively. Significant improvements in periorbital dermal thickness and subcutaneous tissue thickness were observed after combined RF and arbutin cream treatment. None of the 38 participants experienced adverse events, and all reported satisfaction with the results. The combination of a noninvasive home-based RF device and arbutin cream is effective in improving melasma and achieving facial rejuvenation, offering a safe and patient-friendly treatment option.",2025,Journal of cosmetic dermatology,hydroquinone,skin,unspecified,unspecified,arbutin,skin/topical study | clinical/hospital study,,
